epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,11152.8,1.48045,0.98188,1.19394,0.67096,0.67968,0.69502,0.39881,1.58107,0.90328,1.21433,0.00542932,0.00542932,0.00542932
103,11249.5,1.48183,0.98878,1.19593,0.69723,0.67188,0.70717,0.41085,1.56684,0.8892,1.21022,0.00535865,0.00535865,0.00535865
104,11347.8,1.48358,0.98591,1.19616,0.67752,0.68151,0.6969,0.39427,1.6189,0.90998,1.22752,0.00528802,0.00528802,0.00528802
105,11445.8,1.47364,0.96959,1.18844,0.64804,0.66719,0.68389,0.37486,1.68604,0.92117,1.25351,0.00521744,0.00521744,0.00521744
106,11542.7,1.47362,0.98305,1.19113,0.67941,0.67414,0.70179,0.38789,1.63838,0.90873,1.23292,0.00514693,0.00514693,0.00514693
107,11639.5,1.47051,0.9747,1.19074,0.62684,0.70686,0.69803,0.38387,1.66136,0.91147,1.2468,0.00507651,0.00507651,0.00507651
108,11789.4,1.4696,0.97625,1.18864,0.68525,0.67433,0.70234,0.38778,1.65292,0.9061,1.24132,0.0050062,0.0050062,0.0050062
109,11914.5,1.46307,0.96595,1.18597,0.6715,0.67586,0.6962,0.39423,1.6033,0.88938,1.22006,0.004936,0.004936,0.004936
110,12014.1,1.46997,0.97283,1.18869,0.65846,0.73332,0.71429,0.40907,1.58876,0.88552,1.21203,0.00486594,0.00486594,0.00486594
111,12179.1,1.4509,0.96632,1.18127,0.65749,0.69982,0.70211,0.39445,1.61824,0.88945,1.22106,0.00479604,0.00479604,0.00479604
112,12322.3,1.45935,0.96115,1.18542,0.66992,0.68899,0.69993,0.38577,1.65406,0.90187,1.23669,0.00472632,0.00472632,0.00472632
113,12420.8,1.46619,0.96539,1.18591,0.67821,0.68532,0.70355,0.39756,1.62024,0.89075,1.22364,0.00465678,0.00465678,0.00465678
114,12517.8,1.45404,0.96489,1.18128,0.67317,0.66607,0.69398,0.39282,1.61718,0.88592,1.2213,0.00458746,0.00458746,0.00458746
115,12614.5,1.45582,0.96043,1.18267,0.63357,0.72232,0.70208,0.40389,1.59036,0.87453,1.21051,0.00451836,0.00451836,0.00451836
116,12711.6,1.4551,0.95688,1.18255,0.66422,0.67284,0.69572,0.38989,1.63213,0.88727,1.22869,0.0044495,0.0044495,0.0044495
117,12809.1,1.4445,0.95286,1.17982,0.67812,0.70064,0.70763,0.39474,1.62263,0.88509,1.22414,0.0043809,0.0043809,0.0043809
118,12906.6,1.44046,0.94557,1.17488,0.63747,0.71469,0.70451,0.39149,1.64631,0.88775,1.23458,0.00431257,0.00431257,0.00431257
119,13004.1,1.43806,0.9442,1.17358,0.69429,0.69799,0.71826,0.40884,1.60455,0.87748,1.21705,0.00424454,0.00424454,0.00424454
120,13101.6,1.45067,0.95113,1.17947,0.67074,0.6964,0.71347,0.39928,1.62945,0.88357,1.22688,0.00417682,0.00417682,0.00417682
121,13199,1.43735,0.9493,1.17382,0.64771,0.72487,0.70897,0.4015,1.60758,0.87543,1.21733,0.00410942,0.00410942,0.00410942
122,13296,1.44534,0.94356,1.17718,0.67646,0.71187,0.71729,0.41537,1.57181,0.86498,1.20266,0.00404237,0.00404237,0.00404237
123,13394.2,1.43955,0.93349,1.17506,0.64954,0.7488,0.72286,0.39717,1.65908,0.88742,1.2392,0.00397568,0.00397568,0.00397568
124,13493.3,1.43258,0.94041,1.16979,0.70944,0.69281,0.72201,0.39684,1.66971,0.88686,1.24384,0.00390936,0.00390936,0.00390936
125,13591.7,1.42642,0.93259,1.16793,0.6902,0.7449,0.73742,0.42691,1.56949,0.85685,1.20061,0.00384344,0.00384344,0.00384344
126,13689.2,1.43194,0.93673,1.17132,0.67098,0.75341,0.7365,0.41947,1.58879,0.86513,1.20837,0.00377792,0.00377792,0.00377792
127,13786.5,1.42899,0.93096,1.16867,0.66253,0.74909,0.72853,0.41792,1.5889,0.8657,1.20752,0.00371283,0.00371283,0.00371283
128,13883.5,1.429,0.92963,1.16746,0.6857,0.71346,0.72698,0.41813,1.5952,0.86425,1.2106,0.00364819,0.00364819,0.00364819
129,13979.7,1.41855,0.9215,1.16398,0.70062,0.71951,0.7317,0.41563,1.60715,0.86448,1.21516,0.00358399,0.00358399,0.00358399
130,14077.8,1.42178,0.92285,1.16345,0.71224,0.72291,0.74097,0.42535,1.58848,0.8559,1.20664,0.00352027,0.00352027,0.00352027
131,14174.2,1.42516,0.91877,1.1667,0.72207,0.70457,0.73578,0.4119,1.61739,0.86281,1.21904,0.00345704,0.00345704,0.00345704
132,14271.7,1.4303,0.92518,1.17153,0.70764,0.73604,0.73624,0.42226,1.5718,0.85145,1.20011,0.00339432,0.00339432,0.00339432
133,14368.8,1.41229,0.918,1.15815,0.70023,0.70889,0.72996,0.4101,1.6195,0.8658,1.21855,0.00333211,0.00333211,0.00333211
134,14465,1.41978,0.92207,1.16411,0.65679,0.7681,0.73645,0.40987,1.63442,0.86498,1.2258,0.00327044,0.00327044,0.00327044
135,14560.9,1.4148,0.92018,1.16439,0.65677,0.76877,0.73374,0.40642,1.65057,0.86936,1.23312,0.00320931,0.00320931,0.00320931
136,14749.4,1.42106,0.92145,1.16177,0.69879,0.71702,0.73143,0.40577,1.64966,0.86888,1.23229,0.00314876,0.00314876,0.00314876
137,14889,1.4231,0.92426,1.16426,0.70948,0.73164,0.74165,0.42323,1.58268,0.85385,1.20474,0.00308878,0.00308878,0.00308878
138,15011,1.41178,0.91814,1.16473,0.71169,0.7163,0.73677,0.41652,1.60681,0.85711,1.21437,0.0030294,0.0030294,0.0030294
139,15134.4,1.40888,0.91049,1.15995,0.71406,0.72461,0.73845,0.41923,1.59723,0.85481,1.21064,0.00297062,0.00297062,0.00297062
140,15257.3,1.40939,0.91065,1.16118,0.72841,0.71963,0.74536,0.42374,1.58481,0.84701,1.20516,0.00291248,0.00291248,0.00291248
141,15359.2,1.39721,0.90416,1.15331,0.72882,0.72003,0.74619,0.42332,1.58205,0.8465,1.20287,0.00285497,0.00285497,0.00285497
142,15456.4,1.39567,0.89935,1.15236,0.70352,0.72151,0.7389,0.42267,1.57955,0.84478,1.20209,0.00279811,0.00279811,0.00279811
143,15553,1.39206,0.89979,1.1536,0.70941,0.73473,0.7452,0.42343,1.57633,0.8431,1.19905,0.00274192,0.00274192,0.00274192
144,15649.6,1.40111,0.90291,1.15521,0.72479,0.71668,0.74675,0.42837,1.58075,0.84223,1.20134,0.00268641,0.00268641,0.00268641
145,15746.1,1.38411,0.89166,1.148,0.73198,0.71231,0.75001,0.42911,1.57775,0.8396,1.20064,0.00263159,0.00263159,0.00263159
146,15842.7,1.38747,0.89151,1.14977,0.73938,0.71353,0.7476,0.42843,1.57872,0.84229,1.20126,0.00257748,0.00257748,0.00257748
147,15939.6,1.39719,0.90261,1.15431,0.71368,0.74113,0.75014,0.43465,1.55381,0.83325,1.19109,0.0025241,0.0025241,0.0025241
148,16041.7,1.39399,0.89364,1.15566,0.71977,0.7244,0.74792,0.42713,1.5788,0.83944,1.20141,0.00247144,0.00247144,0.00247144
149,16142.4,1.40175,0.89956,1.15814,0.73368,0.72694,0.75351,0.43016,1.57382,0.83867,1.20017,0.00241954,0.00241954,0.00241954
150,16239.7,1.39689,0.89492,1.15185,0.73538,0.72716,0.75692,0.43529,1.5545,0.833,1.19238,0.00236839,0.00236839,0.00236839
151,16353.8,1.38015,0.88506,1.14335,0.74704,0.72209,0.75534,0.42305,1.60305,0.84482,1.21122,0.00231802,0.00231802,0.00231802
152,16554.2,1.38518,0.89,1.14571,0.71588,0.7283,0.75256,0.42562,1.5936,0.84168,1.20774,0.00226843,0.00226843,0.00226843
153,16717.8,1.38534,0.88809,1.14717,0.6961,0.75185,0.75534,0.42967,1.57885,0.83527,1.20167,0.00221964,0.00221964,0.00221964
